"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","611","13.7",40.9,"108.4","86.3","94.8","89.3","83.9","401","164","379","145",23.7,"10",1.6,1.5
"Profar, Jurickson","595777","473","13.4",31.3,"110.3","91.1","101","93.1","91","431","164","386","210",44.4,"34",7.2,5.1
"Machado, Manny","592518","473","12.7",33.8,"115.6","92.5","103.4","95.7","91.3","438","167","402","231",48.8,"52",11,8.1
"Cronenworth, Jake","630105","463","13.9",35.4,"110.9","88.6","99.5","92.6","85.9","422","167","392","170",36.7,"36",7.8,5.5
"Merrill, Jackson","701538","462","14.6",39.4,"111.6","90.4","100.8","93.5","86.9","442","190","399","203",43.9,"52",11.3,8.8
"Bogaerts, Xander","593428","355","10.9",32.1,"111.3","88.1","98.1","91.1","86.2","447","153","399","118",33.2,"18",5.1,3.9
"Kim, Ha-Seong","673490","333","15.1",36.6,"107.9","87.9","98.6","92.1","87","405","165","388","118",35.4,"16",4.8,3.4
"Tatis Jr., Fernando","665487","303","10",33.7,"116.7","93.5","104.4","97.6","89.7","448","166","410","169",55.8,"44",14.5,10
"Díaz, Elias","553869","258","7.6",31,"110.5","87.1","99","91.2","85.4","419","138","400","89",34.5,"12",4.7,3.4
